step,meta_rl,equal_weight,vol_regime,hmm,buy_and_hold
88,0.9351163,0.9482826,0.94408137,0.95564455,0.93115467
89,0.9349956,0.9485061,0.9441006,0.95568466,0.93197984
90,0.93479633,0.9484877,0.9439669,0.9555498,0.9303298
91,0.9347935,0.9484954,0.94397324,0.95569944,0.9455191
92,0.9310676,0.94798183,0.94150597,0.9527206,0.9462901
93,0.9311716,0.94805664,0.9415291,0.9527094,0.9583364
94,0.9319372,0.95158833,0.9446232,0.9550795,0.9626338
95,0.93373716,0.95359814,0.9465303,0.9570181,0.9694342
96,0.93871826,0.9587223,0.9515554,0.9624425,0.96456057
97,0.9370137,0.95617336,0.94876397,0.958532,0.96509194
98,0.93721163,0.9564141,0.94905066,0.958859,0.95679474
99,0.934114,0.9515501,0.94399655,0.9537164,0.93853897
100,0.9276249,0.9414303,0.9332982,0.9458047,0.93416697
101,0.93069273,0.9425081,0.93501544,0.9473821,0.9358599
102,0.92932004,0.94126374,0.93358994,0.9461687,0.9450158
103,0.92304134,0.9393881,0.9302606,0.94293463,0.916392
104,0.93147683,0.9444879,0.9385289,0.9477257,0.9111574
105,0.9345943,0.94728255,0.9400631,0.94925374,0.90241116
106,0.941521,0.9511518,0.9417199,0.9511901,0.8944506
107,0.94641525,0.95431864,0.9428543,0.9525685,0.8985947
108,0.9428724,0.9521422,0.94180554,0.9516081,0.88900083
109,0.95021075,0.9565707,0.94368005,0.953263,0.88408613
110,0.9529161,0.9583431,0.94461095,0.9537422,0.8964617
111,0.9458336,0.95313746,0.941283,0.9510526,0.901947
112,0.9421381,0.9492357,0.9380613,0.947979,0.9126539
113,0.9380362,0.94460624,0.93423796,0.9444476,0.91917217
114,0.9340197,0.9409111,0.9309644,0.9414272,0.8829413
115,0.95195985,0.94654655,0.93555075,0.94680303,0.8837963
116,0.9514336,0.94627064,0.9352796,0.94668883,0.8788779
117,0.9547142,0.9478368,0.93704057,0.94757473,0.87492085
118,0.9582399,0.9490151,0.9385566,0.9484163,0.8805203
119,0.9531449,0.94748676,0.9360721,0.9465712,0.87162274
120,0.9614848,0.95165676,0.9401874,0.9497164,0.8567925
121,0.97361296,0.9571931,0.9473965,0.95503503,0.8537524
122,0.9740786,0.95753074,0.94822854,0.9553996,0.8399492
123,0.9782684,0.9582087,0.95223784,0.9580666,0.8305932
124,0.97535354,0.9530832,0.94936484,0.9563787,0.8270217
125,0.9785068,0.9553284,0.951831,0.958514,0.8425985
126,0.97890365,0.95547146,0.947433,0.9504859,0.829594
127,0.9887406,0.9645891,0.9558243,0.95806307,0.8153983
128,0.9870547,0.9677621,0.95957017,0.9643269,0.8371243
129,1.0001686,0.9789801,0.9693809,0.9723464,0.8605548
130,1.0115453,0.9920992,0.9798648,0.9794806,0.8593498
131,1.0110402,0.9913576,0.97912645,0.97877043,0.8495019
132,1.0067028,0.98791724,0.9752868,0.97299796,0.83161455
133,1.001856,0.9834227,0.97082764,0.96182513,0.82894886
134,1.0025159,0.983206,0.9705935,0.9601955,0.82997954
135,1.002412,0.9830123,0.9704665,0.96012455,0.82917506
136,1.0019411,0.9831376,0.9705368,0.9604728,0.8526749
137,1.0029299,0.9764688,0.96405053,0.9430827,0.8412101
138,0.99630517,0.9733393,0.9601924,0.9422626,0.85685045
139,0.993608,0.97447234,0.9614539,0.941873,0.8664443
140,0.9867603,0.9738454,0.9589267,0.9393303,0.863606
141,0.9851922,0.9726694,0.9582047,0.93913096,0.861045
142,0.98337597,0.97127366,0.9571381,0.9386073,0.8823052
143,0.9889207,0.96905714,0.9600341,0.94180363,0.89414376
144,0.99351704,0.97730243,0.9666639,0.9462111,0.9037132
145,1.0028971,0.98302627,0.9730968,0.95231897,0.90378046
146,1.0028758,0.98304737,0.9731171,0.9522876,0.90929216
147,1.0069371,0.9859279,0.9761814,0.9544656,0.9328104
148,1.0309857,1.0041077,0.99650925,0.97361225,0.9291529
149,1.0282176,1.000776,0.99308866,0.97017944,0.9268891
150,1.0262645,0.99909,0.99111,0.9682661,0.9125418
151,1.013808,0.98981124,0.9803398,0.9580143,0.90838295
152,1.0115443,0.9879348,0.9781756,0.95637286,0.91979325
153,1.0206083,0.9936166,0.98493415,0.9621255,0.9318226
154,1.0270123,0.9978706,0.9906591,0.9673621,0.9412986
155,1.0315458,1.00343,0.9969762,0.9741927,0.9229361
156,1.024678,0.99137574,0.9839688,0.95891124,0.9570398
157,1.0417168,1.0037938,0.998486,0.9709809,0.957962
158,1.0424037,1.0044739,0.9991696,0.9717447,0.951968
159,1.038697,1.0011338,0.9957821,0.96748465,0.9535639
160,1.0396023,1.0022168,0.9968304,0.96849644,0.95245427
161,1.0389905,1.0015255,0.9961583,0.96782774,0.9522411
162,1.0387932,1.001218,0.99584144,0.96751124,0.95790046
163,1.0409261,1.003254,0.99761826,0.9693033,0.95661145
164,1.0399566,1.0023748,0.996769,0.9686504,0.9679039
165,1.0424367,1.0059355,0.99997216,0.97023827,0.9706277
166,1.0436405,1.0068125,1.0007514,0.9708586,0.97497
167,1.0443405,1.0082697,1.002219,0.97180283,0.960846
168,1.0473406,1.0093325,1.0009471,0.9693987,0.9609332
169,1.04717,1.0092759,1.0009403,0.9694249,0.98186034
170,1.0374453,1.0077219,1.0041155,0.9756019,0.97633195
171,1.0367824,1.0077313,1.0041538,0.97603476,0.9773217
172,1.036687,1.0076473,1.0040816,0.9757191,0.9636176
173,1.0398773,1.0054317,1.0014249,0.9782805,0.95366096
174,1.0413647,1.0074134,1.0032107,0.9802131,0.9537059
175,1.0411721,1.0073655,1.0031933,0.9802024,0.95891637
176,1.0401698,1.0064416,1.0031369,0.9819763,0.95025814
177,1.0471361,1.0131905,1.0090657,0.9869571,0.96526223
178,1.036276,1.0078974,1.0031512,0.986587,0.96820307
179,1.0345958,1.0079367,1.0034047,0.9876435,0.9641641
180,1.0378122,1.0057652,1.001133,0.9852469,0.94247353
181,1.0596159,1.0132096,1.0107263,0.9912223,0.93447554
182,1.0646648,1.0142577,1.0113583,0.99159193,0.9298509
183,1.0646085,1.0134034,1.0099756,0.9906805,0.93246806
184,1.0635803,1.0120331,1.0084813,0.98992205,0.94742006
185,1.0679424,1.0100497,1.0079348,0.98592293,0.93751365
186,1.0651222,1.0093349,1.0065172,0.9857483,0.94252205
187,1.0658712,1.0099387,1.0071857,0.98559,0.9435902
188,1.0661728,1.0099733,1.0072162,0.98555845,0.9332053
189,1.0644329,1.0065149,1.0026119,0.9815839,0.943001
190,1.0630794,1.0061059,1.0015212,0.9801167,0.9409132
