step,meta_rl,equal_weight,vol_regime,hmm,buy_and_hold
0,1.0,1.0,1.0,1.0,1.0
1,0.9996635,0.99994266,0.9998543,0.999894,0.9843748
2,1.0101148,1.0017086,1.0044024,1.0031424,0.9883465
3,1.0083961,1.000875,1.0028586,1.0015644,0.9912875
4,1.006216,1.0000002,1.0013767,1.0003171,0.98331964
5,1.0096178,1.0014855,1.0040554,1.0015018,0.9792131
6,1.0122111,1.0025944,1.0059975,1.0028877,0.9816844
7,1.010878,1.0016227,1.0046433,1.0014946,0.98558885
8,1.0078937,0.9996748,1.0020642,0.99931043,0.97386426
9,1.0180312,1.0042455,1.008895,1.0033828,0.9713743
10,1.019701,1.0057032,1.0107725,1.0048801,0.98114556
11,1.010834,0.9971943,1.0026644,0.9964217,0.9779278
12,1.0121477,0.99842525,1.0039697,0.99777627,0.97680545
13,1.0123115,0.9984164,1.0040401,0.9980145,0.9909844
14,1.0088836,0.99275935,0.99841946,0.994332,0.9980692
15,1.0071084,0.9901903,0.9957517,0.98989457,0.98762244
16,1.0045295,0.9894181,0.9949924,0.9916613,0.9597656
17,0.99759305,0.9918637,0.99725205,1.0012758,0.96652323
18,0.9926125,0.98799527,0.994185,0.9988574,0.94355106
19,1.0035342,1.0006307,1.0052655,1.0085638,0.94530386
20,1.0018464,0.99954003,1.0039799,1.0076001,0.9627459
21,0.9851286,0.98753613,0.9908826,0.9961686,0.9360865
22,0.99380654,0.98865193,0.9963874,0.9998249,0.93847907
23,0.99211574,0.98810935,0.9954607,0.9992733,0.94038916
24,0.99145144,0.9875419,0.9947274,0.998684,0.9668524
25,0.990821,0.98509145,0.9919356,0.99769896,0.93667567
26,0.9708839,0.9681706,0.9764587,0.9852343,0.93387693
27,0.9711958,0.9685167,0.976963,0.98583215,0.9153219
28,0.967824,0.9652852,0.9740503,0.9845238,0.9129102
29,0.96668947,0.96477485,0.9737943,0.9848532,0.90363854
30,0.9629085,0.9622055,0.9718516,0.98490214,0.90069187
31,0.9616051,0.9618686,0.97178525,0.98571557,0.9139299
32,0.9683646,0.9673461,0.97672987,0.9900033,0.9146895
33,0.96865755,0.9676218,0.97694176,0.9900087,0.9269286
34,0.97320396,0.97290975,0.98181576,0.9936228,0.8938727
35,0.961738,0.956162,0.9662445,0.9827191,0.88714695
36,0.9554109,0.9524816,0.96248347,0.97959065,0.8873959
37,0.95544505,0.9525116,0.9624672,0.97945905,0.904948
38,0.9621937,0.95880765,0.9671802,0.97868145,0.9063213
39,0.9625537,0.9593074,0.9676296,0.9791151,0.9117617
40,0.96295404,0.95950246,0.9675479,0.97888017,0.92643464
41,0.972568,0.96606725,0.9744389,0.98528814,0.9427784
42,0.97606844,0.97239125,0.97989225,0.98985034,0.9364529
43,0.97112507,0.96698827,0.97415257,0.9835842,0.9314317
44,0.96716344,0.96339613,0.9700321,0.97932863,0.943781
45,0.97235024,0.96993923,0.9777882,0.9876402,0.93388623
46,0.97370154,0.9717314,0.9796007,0.99110717,0.93434274
47,0.9734402,0.97160745,0.97953093,0.9911087,0.9418468
48,0.96868706,0.96917087,0.9779807,0.9908221,0.9342041
49,0.96492,0.9643249,0.9722625,0.9843052,0.91609085
50,0.95331734,0.95593613,0.96136874,0.97397625,0.8911113
51,0.9592183,0.9580265,0.9578004,0.9682551,0.8662439
52,0.95256823,0.952692,0.953088,0.9568775,0.8619318
53,0.9514436,0.95323473,0.9533976,0.95529926,0.87055254
54,0.94901645,0.9522777,0.9528576,0.9574587,0.8495056
55,0.9508829,0.95667404,0.9549386,0.9536803,0.84841865
56,0.95149934,0.95731986,0.955475,0.95401055,0.8666274
57,0.94191796,0.9492682,0.9489891,0.9532044,0.86528987
58,0.9418061,0.9492957,0.94897777,0.95299375,0.8708032
59,0.9418911,0.9497114,0.9491356,0.9540813,0.89417386
60,0.9413115,0.94997424,0.9498412,0.96258837,0.892402
61,0.94046617,0.9489837,0.9490074,0.9618535,0.8784569
62,0.93486387,0.9418029,0.9430826,0.95626915,0.88079363
63,0.9364066,0.9432006,0.94449764,0.95757294,0.873587
64,0.9346285,0.93909305,0.94104725,0.95473355,0.88272244
65,0.9406305,0.94430673,0.9458318,0.95875025,0.87904817
66,0.93754864,0.9422286,0.9439238,0.95731163,0.8810312
67,0.9386912,0.94306386,0.94502425,0.9582708,0.8908774
68,0.94328004,0.94790196,0.95022476,0.9644028,0.88956034
69,0.94258535,0.947065,0.9493123,0.96348196,0.8848962
70,0.9406215,0.94478667,0.9467139,0.96040493,0.87943166
71,0.93782043,0.94421095,0.9457127,0.95756555,0.873512
72,0.9390424,0.9455557,0.94756925,0.9580782,0.8694637
73,0.9400847,0.94533694,0.9474982,0.9572652,0.88814414
74,0.94464594,0.95003825,0.95149,0.9612099,0.88202274
75,0.9460922,0.94878674,0.95165026,0.96238816,0.9034382
76,0.9448489,0.94827527,0.9497321,0.95982176,0.9047947
77,0.9445588,0.94818103,0.9496154,0.9597334,0.9093949
78,0.9465942,0.950782,0.95171285,0.9618649,0.9054887
79,0.9457923,0.9487656,0.95013505,0.96017754,0.9080647
80,0.94568646,0.94927496,0.95021945,0.9605991,0.90157855
81,0.94130516,0.94492954,0.94603735,0.95659864,0.9139562
82,0.9328214,0.9452151,0.94357896,0.95429355,0.9233815
83,0.9356985,0.94873697,0.94527924,0.9562071,0.9323372
84,0.93647486,0.95114267,0.9464434,0.95784366,0.9310107
85,0.9361392,0.9505169,0.9459389,0.9573349,0.9195931
86,0.93510246,0.94766086,0.9437653,0.9543413,0.931411
87,0.93563217,0.94876957,0.9443915,0.9555943,0.9289789
