step,equal_weight,vol_regime,hmm,buy_and_hold
96,0.9587223,0.95169127,0.913112,0.9567712682294585
97,0.95617336,0.9482507,0.908709,0.9572982055065318
98,0.9564141,0.9486147,0.909077,0.9490324204308563
99,0.9515501,0.9428817,0.90332794,0.9307497962186225
100,0.9414303,0.9311742,0.89394456,0.926403930092491
101,0.9425081,0.933158,0.89324254,0.9280813222473614
102,0.94126374,0.93183535,0.89356977,0.937116954983259
103,0.9393881,0.9280777,0.89541185,0.9082937219435713
104,0.9444879,0.93516743,0.8897612,0.9030904958253698
105,0.94728255,0.93607074,0.892233,0.8943797580560412
106,0.9511518,0.9364264,0.89915043,0.8864550785350199
107,0.95431864,0.9358034,0.9066054,0.890552568639108
108,0.9521422,0.935714,0.9026457,0.8809934767599792
109,0.9565707,0.935173,0.91198915,0.8761095557503863
110,0.9583431,0.9349278,0.9164119,0.8882884277269874
111,0.95313746,0.9336475,0.90497893,0.8937071739243312
112,0.9492357,0.9311643,0.90201575,0.904253807376476
113,0.94460624,0.9289593,0.8944254,0.9106891002986972
114,0.9409111,0.92647696,0.8917023,0.8740659657895724
115,0.94654655,0.9274446,0.91463476,0.8749119597371227
116,0.94627064,0.9273431,0.9147415,0.8700294051372534
117,0.9478368,0.92813337,0.914937,0.8661033994534858
118,0.9490151,0.92888254,0.9157424,0.871628663499743
119,0.94748676,0.9272757,0.912198,0.86277619177635
120,0.95165676,0.930244,0.91439646,0.8479702107773952
121,0.9571931,0.9343172,0.92156583,0.8449560351460456
122,0.95753074,0.93456936,0.92228264,0.8311834325553824
123,0.9582087,0.93664366,0.92957693,0.8218731514650273
124,0.9530832,0.934272,0.9301321,0.8183314795708082
125,0.9553284,0.9362794,0.9332393,0.8336012324518831
126,0.95547146,0.92966586,0.91672087,0.8206353705839812
127,0.9645891,0.9376787,0.9198259,0.8064714158265525
128,0.9677621,0.94282156,0.9239299,0.8276782810665051
129,0.9789801,0.95169353,0.9302289,0.8505262043845853
130,0.9920992,0.9605199,0.937815,0.8493343845578808
131,0.9913576,0.95974797,0.93701726,0.8395450526403135
132,0.98791724,0.9541989,0.9299941,0.8216785622984701
133,0.9834227,0.9439269,0.9165105,0.819040521998327
134,0.983206,0.9425645,0.9144272,0.8200581866947965
135,0.9830123,0.94251436,0.9146094,0.8192629983451536
136,0.9831376,0.94277066,0.91455126,0.8421589944416937
137,0.9764688,0.92848516,0.8968656,0.8307587896789856
138,0.9733393,0.9269644,0.900091,0.8460629512412838
139,0.97447234,0.928443,0.88892496,0.8554833525334603
140,0.9738454,0.92677015,0.88002956,0.8526763743038454
141,0.9726694,0.9262964,0.8815978,0.850144044428688
142,0.97127366,0.9255025,0.8833075,0.8708800572997707
143,0.96905714,0.92786276,0.8700536,0.882487645792812
144,0.97730243,0.93282837,0.87566954,0.8918821474097716
145,0.98302627,0.93922716,0.8828461,0.8919484803909025
146,0.98304737,0.9391888,0.88271695,0.8973714500364831
147,0.9859279,0.9415707,0.8848548,0.920286327431023
148,1.0041077,0.96053857,0.9064889,0.916670807302193
149,1.000776,0.9571167,0.9030269,0.9144346777894075
150,0.99909,0.9552244,0.9008085,0.9001694223838285
151,0.98981124,0.9452662,0.889141,0.8960576470871747
152,0.9879348,0.94355774,0.8874695,0.9072430149756021
153,0.9936166,0.94931316,0.8940403,0.9190313422093652
154,0.9978706,0.95438564,0.9016283,0.9283301330361351
155,1.00343,0.9610448,0.90945554,0.9100416705278093
156,0.99137574,0.9463061,0.8931081,0.9430624521290775
157,1.0037938,0.95908743,0.9038305,0.9439706798285876
158,1.0044739,0.9598373,0.90458095,0.9380456788286241
159,1.0011338,0.95573604,0.9001489,0.9396169257917786
160,1.0022168,0.9567693,0.90065444,0.9385228042603164
161,1.0015255,0.95608944,0.90018296,0.9383128119296016
162,1.001218,0.9557762,0.8998095,0.9438727952047465
163,1.003254,0.9576227,0.9005261,0.9426017857236021
164,1.0023748,0.9569496,0.90003985,0.953663741970169
165,1.0059355,0.9588947,0.901472,0.9563437683145485
166,1.0068125,0.9595449,0.9018281,0.9606125565103585
167,1.0082697,0.9605963,0.9026101,0.9465948075933625
