step,allocator,w_aggressive,w_balanced,w_conservative
0,meta_rl,0.03139501975558997,0.020566594448671417,0.9480383857957385
1,meta_rl,0.3677523386322062,0.10147235861862637,0.5307753027491674
2,meta_rl,0.25671438014683545,0.022286482133751433,0.7209991377194132
3,meta_rl,0.24484672535763086,0.0998839161630628,0.6552693584793063
4,meta_rl,0.3974733232863521,0.02058965716733294,0.5819370195463149
5,meta_rl,0.46866472110284885,0.02618307125753163,0.5051522076396195
6,meta_rl,0.48757907617103635,0.017220150848773645,0.4952007729801899
7,meta_rl,0.21823239342232628,0.04120904369091129,0.7405585628867624
8,meta_rl,0.38899877068425637,0.18470665908445863,0.4262945702312851
9,meta_rl,0.3442500235480197,0.22569261515174596,0.43005736130023436
10,meta_rl,0.1996100377943719,0.1973948884229971,0.602995073782631
11,meta_rl,0.20579799263881549,0.372213997347372,0.42198801001381253
12,meta_rl,0.1316942186327514,0.35377621040603174,0.5145295709612169
13,meta_rl,0.4493898829664949,0.20877698710494114,0.34183312992856385
14,meta_rl,0.6400173181781883,0.021296072299742345,0.3386866095220693
15,meta_rl,0.6422526279062934,0.14346937631095943,0.2142779957827471
16,meta_rl,0.33970620801284557,0.6437754757064951,0.016518316280659282
17,meta_rl,0.26785346909159136,0.47979386898317583,0.25235266192523276
18,meta_rl,0.6514291583280377,0.027026433247712672,0.3215444084242496
19,meta_rl,0.6092968418013758,0.019136984503667197,0.371566173694957
20,meta_rl,0.1360018678233859,0.05970715980414235,0.8042909723724718
21,meta_rl,0.874302684143066,0.052813681454540136,0.07288363440239368
22,meta_rl,0.39206145142816573,0.14073536268043238,0.46720318589140186
23,meta_rl,0.06040615093972303,0.14916341682990583,0.7904304322303712
24,meta_rl,0.6978679647794339,0.03419253548867437,0.26793949973189174
25,meta_rl,0.7497975106158181,0.09573572205331396,0.15446676733086795
26,meta_rl,0.5039151605826818,0.02817997746155461,0.4679048619557636
27,meta_rl,0.6596662771781576,0.017539278717634832,0.32279444410420766
28,meta_rl,0.5412996053692333,0.019354695388379924,0.43934569924238687
29,meta_rl,0.6425446730483413,0.014152751032927955,0.3433025759187308
30,meta_rl,0.5345653826324458,0.06415923075191177,0.4012753866156424
31,meta_rl,0.45611135544692377,0.02370562039620895,0.5201830241568672
32,meta_rl,0.3425994999435988,0.0350730482280046,0.6223274518283967
33,meta_rl,0.13385281132920335,0.08012622424891272,0.786020964421884
34,meta_rl,0.7606830408423216,0.048883861611035424,0.19043309754664295
35,meta_rl,0.4216662263793105,0.12371857559553995,0.45461519802514955
36,meta_rl,0.414019664103502,0.04951472362159337,0.5364656122749046
37,meta_rl,0.14733491397013385,0.06426914240577108,0.788395943624095
38,meta_rl,0.3405766040302342,0.2798402901825158,0.3795831057872501
39,meta_rl,0.8704370925716044,0.02442166232897338,0.10514124509942233
40,meta_rl,0.05499173440658242,0.05787357281647328,0.8871346927769443
41,meta_rl,0.8405429973842342,0.1413057589512126,0.018151243664553108
42,meta_rl,0.9194575036606502,0.03706702766080734,0.04347546867854244
43,meta_rl,0.8398311452682733,0.10305523002041814,0.05711362471130862
44,meta_rl,0.3091269970980238,0.35924724156873394,0.33162576133324223
45,meta_rl,0.4032366196285887,0.5655354492127384,0.031227931158673033
46,meta_rl,0.4857807807782737,0.4951536574093982,0.01906556181232803
47,meta_rl,0.2505051229745027,0.5658762858254544,0.18361859120004287
48,meta_rl,0.9590526514248645,0.022104377035082882,0.018842971540052645
49,meta_rl,0.6033447185372507,0.37169164219159306,0.024963639271156333
50,meta_rl,0.2630880823230536,0.23496504540821178,0.5019468722687347
51,meta_rl,0.13419206748332332,0.12744139814148445,0.7383665343751922
52,meta_rl,0.4279296141529781,0.05273873687345031,0.5193316489735715
53,meta_rl,0.32185277647621513,0.2948625314646703,0.38328469205911453
54,meta_rl,0.45477254385110866,0.010506710057447287,0.534720746091444
55,meta_rl,0.5661727677785815,0.02952610150485034,0.40430113071656815
56,meta_rl,0.24268261999430646,0.09738466941151704,0.6599327105941765
57,meta_rl,0.11730593150204666,0.05708167953305806,0.8256123889648953
58,meta_rl,0.25972172423050843,0.030473839962977423,0.7098044358065142
59,meta_rl,0.3732065648086931,0.05443600395799787,0.5723574312333091
60,meta_rl,0.18307865608087068,0.12304606149109262,0.6938752824280366
61,meta_rl,0.8565126267529183,0.028361169548664304,0.11512620369841745
62,meta_rl,0.07368080327434938,0.019613333068304234,0.9067058636573464
63,meta_rl,0.6587368956363896,0.020672658854023324,0.32059044550958704
64,meta_rl,0.8143637280178994,0.03681960943150467,0.14881666255059608
65,meta_rl,0.8153086463905556,0.09365913448367232,0.09103221912577203
66,meta_rl,0.6087901122642811,0.19355244707305055,0.19765744066266822
