,meta_rl,equal_weight,vol_regime,hmm,buy_and_hold
Total ret (%),6.309999942779541,0.6100000143051147,0.15000000596046448,-1.9900000095367432,-5.909999847412109
Ann. ret (%),8.539999961853027,1.0800000429153442,0.47999998927116394,-2.390000104904175,-5.940000057220459
Sharpe,0.926,0.147,0.064,-0.322,-0.288
Sortino,1.477,0.2,0.091,-0.412,-0.434
MaxDD (%),9.48,6.62,7.97,6.94,18.46
Calmar,0.901,0.162,0.06,-0.344,-0.322
CVaR 95% (%),-1.202,-1.115,-1.125,-1.213,-2.956
Omega,1.187,1.028,1.012,0.941,0.953
Win rate (%),46.3,48.9,47.4,48.4,49.5
