,equal_weight,vol_regime,hmm,buy_and_hold
Total ret (%),0.6100000143051147,-3.75,-9.949999809265137,-11.15
Ann. ret (%),1.0800000429153442,-4.78000020980835,-13.319999694824219,-9.949999809265137
Sharpe,0.147,-0.643,-1.246,-0.502
Sortino,0.2,-0.84,-1.595,-0.768
MaxDD (%),6.62,8.23,12.99,23.06
Calmar,0.162,-0.582,-1.025,-0.431
CVaR 95% (%),-1.115,-1.231,-1.693,-2.832
Omega,1.028,0.885,0.791,0.921
Win rate (%),48.9,45.8,48.4,48.0
