step,allocator,blended_action,aggressive_action,balanced_action,conservative_action
0,equal_weight,-0.067870595,-0.14920795,-0.6587296,0.6043258
1,equal_weight,-0.12545724,-0.23405313,-0.31139576,0.16907716
2,equal_weight,-0.25008187,-0.72011304,-0.09114963,0.061017036
3,equal_weight,-0.6199798,-0.72494227,-0.94184065,-0.19315642
4,equal_weight,-0.7351453,-0.6711274,-0.8776452,-0.65666324
5,equal_weight,-0.6248655,-0.88855684,-0.1725508,-0.8134887
6,equal_weight,-0.55426645,-0.83744395,-0.0005070567,-0.8248483
7,equal_weight,-0.09360316,-0.6926784,0.5653508,-0.15348184
8,equal_weight,-0.10302681,-0.7706954,0.47990727,-0.018292308
9,equal_weight,0.120684765,-0.5290429,0.6817101,0.20938706
10,equal_weight,-0.23272097,-0.5107712,0.58757067,-0.77496237
11,equal_weight,-0.19120073,-0.6580321,0.8372011,-0.7527712
12,equal_weight,-0.17374378,-0.6889475,0.32399118,-0.15627503
13,equal_weight,0.22070666,-0.2938888,0.75082564,0.20518315
14,equal_weight,0.20582588,0.27996874,-0.12563896,0.46314788
15,equal_weight,0.080999434,0.052896023,-0.17088133,0.3609836
16,equal_weight,0.3987433,0.055311084,0.7494602,0.39145863
17,equal_weight,0.5416582,0.29044676,0.94910336,0.3854246
18,equal_weight,0.45177996,0.091701865,0.9426756,0.32096243
19,equal_weight,0.4969926,0.2068075,0.9808383,0.30333197
20,equal_weight,0.56118745,0.46758974,0.9412832,0.27468932
21,equal_weight,0.68454283,0.7065735,0.969661,0.37739408
22,equal_weight,0.7308772,0.8758731,0.95838463,0.358374
23,equal_weight,0.82230777,0.9608345,0.9812627,0.52482605
24,equal_weight,0.83806014,0.8818314,0.9745095,0.65783954
25,equal_weight,0.64445,0.5720451,0.8143976,0.5469074
26,equal_weight,0.5618529,0.50284886,0.5256052,0.6571045
27,equal_weight,0.7519483,0.5833069,0.9023441,0.7701938
28,equal_weight,0.70719016,0.8029294,0.90602136,0.4126197
29,equal_weight,0.7134632,0.89148474,0.917866,0.33103883
30,equal_weight,0.84677535,0.8582144,0.9765966,0.70551515
31,equal_weight,0.80194,0.66081214,0.9896289,0.75537896
32,equal_weight,0.7393489,0.5108148,0.9883523,0.7188796
33,equal_weight,0.78361017,0.5266123,0.95794094,0.8662772
34,equal_weight,0.6654574,0.68967915,0.44495213,0.86174107
35,equal_weight,0.6295878,0.58744645,0.47286773,0.82844937
36,equal_weight,0.8288424,0.71928406,0.98658943,0.7806537
37,equal_weight,0.76368177,0.5974612,0.969921,0.7236631
38,equal_weight,0.64199454,0.41865098,0.8703687,0.63696384
39,equal_weight,0.27539715,-0.48909175,0.99068475,0.32459843
40,equal_weight,0.2777625,-0.44019175,0.9885335,0.28494573
41,equal_weight,0.017266989,-0.4840628,0.9346056,-0.39874184
42,equal_weight,-0.3405509,-0.84646523,0.76653945,-0.9417269
43,equal_weight,-0.8367005,-0.87807465,-0.92362034,-0.7084065
44,equal_weight,-0.19978023,-0.41943908,-0.57121277,0.39131117
45,equal_weight,-0.07106217,-0.31583977,0.43687224,-0.33421898
46,equal_weight,0.22875214,0.08491719,0.8393419,-0.23800266
47,equal_weight,0.53386325,0.61320865,0.8854232,0.102957845
48,equal_weight,0.6055811,0.81349707,0.92207134,0.08117485
49,equal_weight,0.28217986,0.58696175,0.6501465,-0.39056867
50,equal_weight,0.36390737,0.6854782,0.70697737,-0.30073345
51,equal_weight,0.2549975,0.5609758,0.6244583,-0.42044163
52,equal_weight,0.14999266,0.50049675,0.28762126,-0.33814
53,equal_weight,0.1726237,0.8814715,-0.356103,-0.00749743
54,equal_weight,-0.16582073,0.46346784,-0.6250722,-0.33585787
55,equal_weight,-0.23726852,0.45779073,-0.80944586,-0.36015046
56,equal_weight,-0.53830874,-0.5256827,-0.76828015,-0.32096344
57,equal_weight,-0.33488086,-0.90497935,0.12554562,-0.22520888
58,equal_weight,-0.30098465,-0.6687461,-0.2713616,0.03715372
59,equal_weight,-0.24640362,-0.0017879605,-0.6357453,-0.1016776
60,equal_weight,-0.17727496,-0.26375365,-0.055277765,-0.21279347
61,equal_weight,0.017332694,-0.1623717,0.26272297,-0.048353195
62,equal_weight,-0.6680687,-0.74988854,-0.9533058,-0.3010118
63,equal_weight,-0.3742385,-0.74562097,0.14546227,-0.5225568
64,equal_weight,-0.034873903,0.22187698,-0.6006114,0.2741127
65,equal_weight,0.14083482,0.2596588,-0.36426395,0.5271096
66,equal_weight,-0.078625344,0.16139996,-0.81592184,0.41864586
67,equal_weight,-0.18737215,-0.07750881,-0.9243123,0.43970466
68,equal_weight,-0.22663127,-0.12948895,-0.87450236,0.3240975
69,equal_weight,-0.26328138,-0.5209868,-0.43211448,0.16325712
70,equal_weight,0.12247332,-0.6127374,0.73398304,0.24617434
71,equal_weight,0.24784787,-0.114032745,0.59382343,0.26375294
72,equal_weight,0.5101697,0.57943344,0.48737276,0.46370292
73,equal_weight,0.68138975,0.8416718,0.6653044,0.53719306
74,equal_weight,0.9894085,0.9758334,0.9985733,0.99381876
75,equal_weight,0.9815555,0.9624727,0.99115884,0.991035
76,equal_weight,0.46003768,0.041597724,0.8196237,0.5188916
77,equal_weight,0.0054346123,-0.73135215,0.48989844,0.25775754
78,equal_weight,0.0315512,-0.85316765,0.39036655,0.5574547
79,equal_weight,0.28238788,-0.054059446,0.67025125,0.23097181
80,equal_weight,-0.46418443,-0.4641645,-0.973266,0.04487717
81,equal_weight,-0.21549547,-0.09970975,-0.79871976,0.2519431
82,equal_weight,0.38777542,0.30717194,0.44987142,0.4062829
83,equal_weight,-0.057323057,-0.54655683,0.0818007,0.29278696
84,equal_weight,-0.10035211,-0.03794974,-0.40269637,0.13958979
85,equal_weight,0.106659055,0.0953778,-0.06091094,0.2855103
86,equal_weight,0.22632426,0.46894252,0.24111211,-0.031081855
87,equal_weight,-0.31896973,-0.34049225,-0.124616206,-0.49180073
88,equal_weight,0.057542425,-0.5898717,0.65297246,0.109526515
89,equal_weight,0.29992998,-0.04951787,0.6615869,0.28772092
90,equal_weight,-0.4418092,-0.39461112,-0.4206764,-0.51014006
91,equal_weight,0.4655728,0.30206645,0.48500776,0.6096442
92,equal_weight,0.2882118,0.32494903,0.23759353,0.3020928
93,equal_weight,0.40147743,0.36354125,0.4608475,0.3800435
94,equal_weight,0.5687205,0.58062387,0.6204157,0.50512207
95,equal_weight,0.43788144,0.3691448,0.59419227,0.35030723
96,equal_weight,0.3655527,0.49847293,-0.07127231,0.66945744
97,equal_weight,0.36379886,0.79690385,-0.09375405,0.38824677
98,equal_weight,0.2551417,0.6028968,0.035244584,0.12728369
99,equal_weight,0.3603483,0.72643805,0.16890502,0.18570185
100,equal_weight,0.7415406,0.77385163,0.98048687,0.47028327
101,equal_weight,0.613745,0.6212146,0.86984944,0.35017085
102,equal_weight,0.42377985,0.3672154,0.43118572,0.47293842
103,equal_weight,0.57091004,0.6884246,0.5737617,0.45054388
104,equal_weight,0.44095084,0.35083485,0.5543182,0.41769946
105,equal_weight,-0.24675633,-0.573273,-0.07143903,-0.095556974
106,equal_weight,0.5257879,0.688082,0.56051445,0.3287673
107,equal_weight,0.64206976,0.6256012,0.5336399,0.76696825
108,equal_weight,-0.07083831,0.15105414,-0.26373643,-0.099832654
109,equal_weight,-0.38782582,-0.628054,-0.4879228,-0.04750061
110,equal_weight,-0.19809419,-0.80254596,0.3387128,-0.13044941
111,equal_weight,0.53297275,0.65350175,0.8139796,0.13143694
112,equal_weight,0.22605646,0.2674651,0.2777748,0.13292944
113,equal_weight,0.3053329,0.18832994,0.40456748,0.32310128
114,equal_weight,0.35586837,0.71726465,-0.035162926,0.3855034
115,equal_weight,0.42748043,0.82057357,0.028882384,0.4329853
116,equal_weight,0.56882155,0.9417505,0.35356987,0.41114426
117,equal_weight,0.5377359,0.94437695,0.2798524,0.38897824
118,equal_weight,0.20074189,0.60623324,-0.3677504,0.36374283
119,equal_weight,0.13866942,0.3635949,-0.49716616,0.5495795
120,equal_weight,0.382927,0.38940787,-0.014803469,0.7741766
121,equal_weight,0.70315826,0.70644057,0.69430685,0.70872736
122,equal_weight,0.4329753,0.5866177,0.12305462,0.58925354
123,equal_weight,0.5726705,0.6340653,0.38235188,0.70159435
124,equal_weight,-0.26621085,-0.24249238,-0.62850714,0.07236695
125,equal_weight,0.4321362,-0.16581863,0.7170807,0.7451465
126,equal_weight,0.29961583,0.32663107,0.053773046,0.51844335
127,equal_weight,-0.08932922,-0.20829976,-0.54877824,0.48909032
