,equal_weight,vol_regime,hmm,buy_and_hold
Total ret (%),1.2300000190734863,1.0,3.6600000858306885,12.16
Ann. ret (%),1.7799999713897705,1.4800000190734863,4.96999979019165,12.210000038146973
Sharpe,0.32,0.257,0.795,1.073
Sortino,0.403,0.327,1.082,1.581
MaxDD (%),5.16,5.79,6.02,6.14
Calmar,0.345,0.256,0.825,1.989
CVaR 95% (%),-0.896,-0.906,-0.899,-1.552
Omega,1.063,1.052,1.162,1.198
Win rate (%),50.0,48.9,53.2,55.2
