,meta_rl,equal_weight,vol_regime,hmm,buy_and_hold
Total ret (%),3.069999933242798,1.2300000190734863,1.0,1.059999942779541,6.949999809265137
Ann. ret (%),4.190000057220459,1.7799999713897705,1.4800000190734863,1.5499999523162842,9.649999618530273
Sharpe,0.692,0.32,0.257,0.284,0.796
Sortino,0.918,0.403,0.327,0.354,1.182
MaxDD (%),4.98,5.16,5.79,4.7,6.06
Calmar,0.841,0.345,0.256,0.329,1.593
CVaR 95% (%),-0.922,-0.896,-0.906,-0.886,-1.635
Omega,1.141,1.063,1.052,1.057,1.145
Win rate (%),52.1,50.0,48.9,48.9,53.7
