step,equal_weight,vol_regime,hmm,buy_and_hold
0,1.0,1.0,1.0,1.0
1,0.9999661,0.99988663,0.999925,0.9939395885160346
2,1.0003486,1.0012083,1.000796,0.9839261744435353
3,1.0015507,1.0023874,1.0028081,0.982842964914728
4,1.0016412,1.0023922,1.0035868,0.9694347708223914
5,1.0100553,1.0125134,1.0145006,0.9771166052109365
6,1.0041157,1.0066644,1.0093578,0.9768343286305324
7,1.0042615,1.0068004,1.0095787,0.9766050707590629
8,1.0041609,1.0066772,1.0096595,0.9659441275505786
9,1.0051823,1.0069892,1.0160123,0.9658829695089292
10,1.0050764,1.0068809,1.0159231,0.9538578967466861
11,1.0033886,1.0044632,1.0183774,0.9476063239902084
12,1.0048983,1.0054781,1.0147351,0.9492086420721656
13,1.0045646,1.0053097,1.015759,0.9480613352982286
14,1.0045774,1.0052384,1.0148774,0.94861537515428
15,1.0046996,1.0053514,1.0149937,0.9538997238731376
16,1.0057889,1.006266,1.0153247,0.9602464816038646
17,1.0061711,1.0063642,1.0140979,0.9668457847413287
18,1.0088565,1.0091683,1.0160562,0.9657712797766748
19,1.0082039,1.0084705,1.0152947,0.9563055749681153
20,1.0037168,1.0034643,1.0093836,0.9601610186103582
21,1.0056957,1.0057192,1.0122783,0.9638307272018987
22,1.0077908,1.0080563,1.0150759,0.9494070383070912
23,0.9974435,0.99715656,1.0036702,0.951597988409138
24,0.99908024,0.9988556,1.0058343,0.9596571713060487
25,1.0060302,1.0059284,1.0141873,0.9708889982674526
26,1.0158006,1.0158504,1.0254662,0.9753118212276962
27,1.0187409,1.0188518,1.0291119,0.9761146759629905
28,1.0191152,1.0192127,1.0294982,0.9804261483298429
29,1.0224771,1.0226457,1.0335124,0.9887093889689884
30,1.028583,1.0288892,1.0412403,0.9918440494808123
31,1.0308411,1.0311927,1.0442835,0.9898003986916475
32,1.0290195,1.029345,1.0421804,0.9929731558024285
33,1.0316324,1.0320262,1.0444664,1.0017173992028428
34,1.0383264,1.0389646,1.0491945,1.0007474620543177
35,1.0374773,1.0380766,1.0485897,1.0041105891135973
36,1.0397787,1.0403199,1.0509231,0.9991581442954469
37,1.0364463,1.0370641,1.0478058,1.0008189073081486
38,1.0378404,1.0384902,1.0490004,0.9957371375368615
39,1.0337528,1.0342885,1.0457505,0.9804149567473599
40,1.0233511,1.0234885,1.0387131,0.9805234811835585
41,1.0233811,1.0235224,1.0386822,0.9750691108479896
42,1.0216665,1.0213584,1.0389419,0.964691348590211
43,1.021296,1.0196491,1.0382291,0.9563727244630131
44,1.0240418,1.0214492,1.0384663,0.9706901498473762
45,1.0108887,1.0076253,1.0243248,0.9677931126323122
46,1.0114264,1.0082942,1.025681,0.9713060260228032
47,1.0110139,1.0079105,1.0263673,0.9737127814880826
48,1.0114326,1.0085031,1.0283465,0.9756890566897741
49,1.0124923,1.0096024,1.0299844,0.9734991240043166
50,1.0109524,1.0080138,1.0278208,0.9752300887616842
51,1.0114182,1.0085365,1.0288675,0.9721989786493999
52,1.0102192,1.0072527,1.0266587,0.9713150697258198
53,1.009932,1.0069234,1.0260832,0.9696800812667153
54,1.0096656,1.0066226,1.0251557,0.9682251755439278
55,1.0092332,1.0062566,1.023603,0.9729542408975694
