step,allocator,w_aggressive,w_balanced,w_conservative
0,meta_rl,0.2099935918667992,0.43654190215442706,0.3534645059787737
1,meta_rl,0.2424727404221132,0.4160339828842617,0.3414932766936251
2,meta_rl,0.6710928284903177,0.21991357849173868,0.10899359301794358
3,meta_rl,0.12150156945467892,0.4972906667038443,0.3812077638414769
4,meta_rl,0.10362965975705576,0.8339515319434938,0.06241880829945048
5,meta_rl,0.07671311333562122,0.056692026193914516,0.8665948604704643
6,meta_rl,0.5072015493337583,0.04777157501325241,0.4450268756529893
7,meta_rl,0.48736419675281806,0.0855031274796832,0.4271326757674988
8,meta_rl,0.7213074944956732,0.1365089167054647,0.14218358879886195
9,meta_rl,0.5243880928595638,0.1337187961487725,0.3418931109916637
10,meta_rl,0.5321351862234429,0.3522942638671132,0.11557054990944396
11,meta_rl,0.11470908285958552,0.7189999601654947,0.16629095697491988
12,meta_rl,0.021928951940236908,0.354713009144282,0.6233580389154811
13,meta_rl,0.06347645493915581,0.12118390045973988,0.8153396446011042
14,meta_rl,0.0592259306180635,0.6421142333918789,0.2986598359900577
15,meta_rl,0.23047321162231194,0.6832793232050164,0.08624746517267169
16,meta_rl,0.29398440157998973,0.0750327417111849,0.6309828567088255
17,meta_rl,0.3613526147961669,0.18260311538421958,0.45604426981961343
18,meta_rl,0.45444336581060557,0.14380463811395658,0.40175199607543777
19,meta_rl,0.4853957724438393,0.111337214103248,0.40326701345291255
20,meta_rl,0.6671776699404156,0.06854991488074959,0.2642724151788347
21,meta_rl,0.771999620429725,0.08312100911959204,0.14487937045068286
22,meta_rl,0.0802602603507305,0.04407368982850742,0.8756660498207621
23,meta_rl,0.32975454156104816,0.5798955159780663,0.09034994246088557
24,meta_rl,0.5136171709818826,0.2270119533028385,0.25937087571527884
25,meta_rl,0.2329536877323115,0.5311146085333257,0.2359317037343628
26,meta_rl,0.4059643425517089,0.5049581476267793,0.0890775098215119
27,meta_rl,0.3086557664184909,0.6312275577152369,0.06011667586627217
28,meta_rl,0.577341631865495,0.14578165629027018,0.27687671184423474
29,meta_rl,0.1057656253843319,0.07610096462695445,0.8181334099887136
30,meta_rl,0.49933972146957156,0.0932414533100836,0.4074188252203449
31,meta_rl,0.6080474660707765,0.31202256514544086,0.07992996878378264
32,meta_rl,0.4361946845121622,0.4660986399270489,0.09770667556078894
33,meta_rl,0.5812145241581226,0.35468924276018676,0.06409623308169064
34,meta_rl,0.8236864509014981,0.09791226978715448,0.07840127931134758
35,meta_rl,0.8690655326887798,0.07461696889154701,0.05631749841967307
36,meta_rl,0.5176711815685967,0.27044980845624245,0.21187900997516093
37,meta_rl,0.4582595821878021,0.4551215172785197,0.08661890053367831
38,meta_rl,0.48323026678347497,0.4663112275939445,0.05045850562258058
39,meta_rl,0.3146572002429181,0.3198192079806525,0.36552359177642946
40,meta_rl,0.1483573306718158,0.1147565007837354,0.7368861685444488
41,meta_rl,0.1084589477140162,0.11135253254564689,0.7801885197403369
42,meta_rl,0.34570913435328743,0.16691171911527727,0.4873791465314354
43,meta_rl,0.3599305949585713,0.4655852809767303,0.17448412406469838
44,meta_rl,0.5912419184923142,0.330825851243437,0.07793223026424875
45,meta_rl,0.44433108277079325,0.29060454899177174,0.2650643682374349
46,meta_rl,0.5011262297283527,0.11768275559498806,0.3811910146766593
47,meta_rl,0.13063809370954857,0.07364488652236047,0.7957170197680911
48,meta_rl,0.2823322679396572,0.5657162751803617,0.15195145687998105
49,meta_rl,0.12471321058591688,0.24083197944793558,0.6344548099661476
50,meta_rl,0.21930979677926113,0.48524534748802006,0.29544485573271867
51,meta_rl,0.20380565742399545,0.22938709141208502,0.5668072511639195
52,meta_rl,0.29171005345926154,0.3361733754698766,0.3721165710708618
53,meta_rl,0.11317060377587577,0.25962883307747775,0.6272005631466464
54,meta_rl,0.13039023692403692,0.6176965735079193,0.2519131895680438
55,meta_rl,0.08976142272480588,0.850120513379614,0.06011806389558015
56,meta_rl,0.5786642616752455,0.32254037962267357,0.09879535870208093
57,meta_rl,0.32864128400206427,0.031854929674476506,0.6395037863234593
58,meta_rl,0.7909671167955598,0.03411445309192112,0.17491843011251912
59,meta_rl,0.12151841306528995,0.3163316780891241,0.5621499088455859
60,meta_rl,0.3932823367176732,0.19136854157243977,0.415349121709887
61,meta_rl,0.461666571771968,0.2352160245343843,0.3031174036936477
62,meta_rl,0.04040696419863402,0.8079144904079075,0.15167854539345843
63,meta_rl,0.07299545719670823,0.04677674554287104,0.8802277972604207
64,meta_rl,0.3428859204226911,0.20848609424728984,0.44862798533001896
65,meta_rl,0.14173955615183506,0.23148097125633693,0.626779472591828
66,meta_rl,0.23134897805662769,0.5056937139352381,0.26295730800813416
67,meta_rl,0.2647913030227098,0.5003826957438825,0.2348260012334076
68,meta_rl,0.2314908349552948,0.4222852444667006,0.34622392057800444
69,meta_rl,0.5174007596071495,0.2927181968829012,0.1898810435099494
70,meta_rl,0.10284122939264029,0.2595116634403214,0.6376471071670383
71,meta_rl,0.16608878839323243,0.16942885245326644,0.6644823591535011
72,meta_rl,0.4222844411694751,0.3369512323017392,0.24076432652878565
73,meta_rl,0.7143566525851535,0.14423744801797375,0.1414058993968729
74,meta_rl,0.4399941049829194,0.37887442262429644,0.18113147239278407
75,meta_rl,0.6070331306573272,0.3107455901027199,0.0822212792399529
76,meta_rl,0.47992257175758285,0.47527098907582577,0.04480643916659146
77,meta_rl,0.21402747975498837,0.4407183018376529,0.3452542184073588
78,meta_rl,0.1684667696730004,0.453926057412167,0.3776071729148325
79,meta_rl,0.323568011225273,0.11471703309872902,0.561714955675998
80,meta_rl,0.03697773138270689,0.549961757182526,0.41306051143476696
81,meta_rl,0.5736991151390559,0.3737733943960223,0.052527490464921764
82,meta_rl,0.12854496158780113,0.33682892219525945,0.5346261162169395
83,meta_rl,0.08118055532211664,0.12833754907071268,0.7904818956071707
84,meta_rl,0.09090640663726544,0.3004156988196017,0.6086778945431329
85,meta_rl,0.23447598172619102,0.5853416218014638,0.18018239647234507
86,meta_rl,0.482481560364935,0.26034745545274696,0.2571709841823179
87,meta_rl,0.05374160754359209,0.3462273502829586,0.6000310421734494
88,meta_rl,0.06265040015130408,0.09486763932722221,0.8424819605214736
89,meta_rl,0.02950536433381768,0.16649745797744386,0.8039971776887384
90,meta_rl,0.05208206190223895,0.4592866856547554,0.48863125244300576
91,meta_rl,0.06727544023928546,0.14765552664178908,0.7850690331189255
92,meta_rl,0.048677042776458984,0.6172194578773185,0.3341034993462225
93,meta_rl,0.20986126939436198,0.6106436262306212,0.17949510437501687
94,meta_rl,0.11353538350749015,0.7887702674348577,0.09769434905765216
95,meta_rl,0.25417241258377965,0.5354357491186875,0.21039183829753288
96,meta_rl,0.10589555457850511,0.6970119951850482,0.19709245023644678
97,meta_rl,0.19267138219701915,0.5714111322114704,0.2359174855915105
98,meta_rl,0.3861236229395403,0.41539614905513633,0.19848022800532347
99,meta_rl,0.2280389006655688,0.5934461209949062,0.17851497833952487
100,meta_rl,0.28604184861407983,0.4724918218939356,0.24146632949198465
101,meta_rl,0.3705493349000201,0.5086284595253083,0.12082220557467147
102,meta_rl,0.4508333653499143,0.4315037580741548,0.1176628765759309
103,meta_rl,0.20675593867869138,0.3643684592044098,0.42887560211689874
104,meta_rl,0.5708401475802372,0.349648376563827,0.07951147585593586
105,meta_rl,0.17650353074942046,0.07786262844831628,0.7456338408022634
106,meta_rl,0.20589214812392598,0.07110256377481401,0.72300528810126
107,meta_rl,0.4106766204082487,0.2895066422732346,0.2998167373185167
108,meta_rl,0.10712927917677628,0.2866726203626987,0.606198100460525
109,meta_rl,0.6141176465738887,0.06500513386368618,0.3208772195624252
110,meta_rl,0.6693575053110431,0.15391526130961003,0.1767272333793468
111,meta_rl,0.057777687849122815,0.06482265389475696,0.8773996582561202
112,meta_rl,0.033713167287379046,0.5977325842530609,0.3685542484595602
113,meta_rl,0.3703193084108152,0.46448768397429424,0.16519300761489045
114,meta_rl,0.1936569963772591,0.6441260033175947,0.16221700030514624
115,meta_rl,0.21382267457564746,0.5962586356152154,0.18991868980913712
116,meta_rl,0.1798022472782259,0.4094507740442893,0.41074697867748466
117,meta_rl,0.2579382142594903,0.33493655567468306,0.40712523006582657
118,meta_rl,0.18086221170592748,0.46804726177657857,0.351090526517494
119,meta_rl,0.20835897608069856,0.38445266919255006,0.40718835472675136
120,meta_rl,0.11214918096579342,0.12248323225609556,0.7653675867781111
121,meta_rl,0.47428724413424145,0.0975488597153763,0.42816389615038236
122,meta_rl,0.41990417401096375,0.4053190506992376,0.17477677528979865
123,meta_rl,0.16687853427785165,0.1441892203467199,0.6889322453754284
124,meta_rl,0.07337254206236411,0.1373931746997304,0.7892342832379055
125,meta_rl,0.04445300297370463,0.04928500911033082,0.9062619879159646
126,meta_rl,0.14778424308833885,0.5871724231445212,0.26504333376714
127,meta_rl,0.1416206664835954,0.6900583268397964,0.16832100667660818
128,meta_rl,0.13892499584638182,0.6982930088878981,0.16278199526572004
129,meta_rl,0.2796790405942747,0.34930074938483474,0.37102021002089064
130,meta_rl,0.11171832543312292,0.7246901080687844,0.1635915664980926
131,meta_rl,0.07454980352658384,0.06247599669685746,0.8629741997765586
