step,equal_weight,vol_regime,hmm,buy_and_hold
97,1.0150344,1.0053083,1.0172042,0.9572982055065318
98,1.0152535,1.0055759,1.0176649,0.9490324204308563
99,1.0117528,1.0013161,1.010358,0.9307497962186225
100,1.008932,0.99728835,0.9983148,0.926403930092491
101,1.0121535,1.000901,1.0008439,0.9280813222473614
102,1.0114435,1.0000843,0.9997409,0.937116954983259
103,1.0065484,0.99487275,0.9916584,0.9082937219435713
104,1.0204947,1.0104561,1.0102584,0.9030904958253698
105,1.0226892,1.0126786,1.0154523,0.8943797580560412
106,1.0269517,1.017382,1.0245857,0.8864550785350199
107,1.0315591,1.022108,1.0327126,0.890552568639108
108,1.0291262,1.0195329,1.0280093,0.8809934767599792
109,1.0335711,1.0244666,1.0385122,0.8761095557503863
110,1.0353367,1.026653,1.0426867,0.8882884277269874
111,1.0317916,1.0217047,1.0376998,0.8937071739243312
112,1.0280573,1.0178685,1.0333066,0.904253807376476
113,1.0205275,1.009836,1.0237304,0.9106891002986972
114,1.0157136,1.0046719,1.0192035,0.8740659657895724
115,1.0435652,1.0350513,1.0419312,0.8749119597371227
116,1.0433403,1.034747,1.0409325,0.8700294051372534
117,1.0449817,1.036712,1.0443485,0.8661033994534858
118,1.0461373,1.0382081,1.0473431,0.871628663499743
119,1.0418582,1.0337055,1.0412847,0.86277619177635
120,1.0444583,1.0369065,1.0475307,0.8479702107773952
121,1.049875,1.0416847,1.054797,0.8449560351460456
122,1.0517204,1.0437773,1.0573381,0.8311834325553824
123,1.0629606,1.0555774,1.0689965,0.8218731514650273
124,1.0692068,1.0635856,1.0807856,0.8183314795708082
125,1.0733451,1.0677984,1.0851728,0.8336012324518831
126,1.0584459,1.0514262,1.0683867,0.8206353705839812
127,1.0735012,1.0662601,1.0823687,0.8064714158265525
128,1.0879977,1.0811657,1.0974278,0.8276782810665051
129,1.0724047,1.0623354,1.0688184,0.8505262043845853
130,1.0487027,1.0371088,1.0400255,0.8493343845578808
131,1.0494398,1.0380683,1.0413818,0.8395450526403135
132,1.057827,1.0473273,1.0519092,0.8216785622984701
133,1.0763682,1.0658017,1.0716689,0.819040521998327
134,1.0795656,1.0690616,1.0750363,0.8200581866947965
135,1.0782098,1.0677367,1.0737087,0.8192629983451536
136,1.0791059,1.0686951,1.0747215,0.8421589944416937
137,1.0526184,1.040604,1.0449018,0.8307587896789856
138,1.0588202,1.0492728,1.052234,0.8460629512412838
139,1.0500563,1.0380796,1.0396835,0.8554833525334603
140,1.0464529,1.0326223,1.0331392,0.8526763743038454
141,1.0475097,1.0341343,1.0351052,0.850144044428688
142,1.0478903,1.0348319,1.0357894,0.8708800572997707
143,1.042511,1.0275068,1.024298,0.882487645792812
144,1.043998,1.0269309,1.0188504,0.8918821474097716
145,1.0405012,1.022432,1.0159141,0.8919484803909025
146,1.0404878,1.0223753,1.0158954,0.8973714500364831
147,1.039248,1.0205022,1.0157645,0.920286327431023
148,1.0424012,1.0223665,1.0196539,0.916670807302193
149,1.0411257,1.0209377,1.0161014,0.9144346777894075
