aggressive,balanced,conservative,buy_&_hold
1.0,1.0,1.0,1.0
0.9999812,0.9999616,0.99980915,0.99395794
1.000546,1.0010765,0.99389327,0.9839946
1.0012362,1.0054462,0.9909128,0.98291194
1.0010176,1.0055668,0.9899636,0.9695938
1.0043163,1.0188574,0.97985667,0.97730744
1.0019706,1.012068,0.9868828,0.9770251
1.0020838,1.0121247,0.98646075,0.9767958
1.0021759,1.0123475,0.98644596,0.9661907
1.0062617,1.0223155,0.9837818,0.96612954
1.0062612,1.0221338,0.9838021,0.954176
1.0119615,1.0173371,0.98938054,0.9479428
1.0171555,1.0126835,0.99549377,0.949547
1.0158707,1.0136052,0.99435735,0.94839996
1.0166082,1.013924,0.99353224,0.9489544
1.0166247,1.0144649,0.9938501,0.9542554
1.0169336,1.0191393,0.9990848,0.9606256
1.0160998,1.0213033,1.000976,0.9672503
1.018702,1.0186226,0.9997226,0.96617585
1.0184455,1.0174503,0.9991988,0.9567525
1.0153247,1.0114437,0.99236655,0.96061754
1.0160512,1.0130286,0.994648,0.96429604
1.016946,1.0142308,0.9917311,0.94997287
1.0150927,1.0159233,1.0053304,0.95216763
1.015339,1.0176294,1.003119,0.9602659
1.0159464,1.0261297,1.0046941,0.9715708
1.0206801,1.038089,1.0162671,0.9760069
1.0226247,1.0427482,1.020566,0.9768106
1.0229924,1.043571,1.0213099,0.98113465
1.0258557,1.0480635,1.0257801,0.989459
1.0326768,1.0546633,1.0344085,0.9926011
1.0357771,1.0578985,1.0376294,0.990558
1.0334089,1.0557334,1.035592,0.9937383
1.0319184,1.0548122,1.0342885,1.002528
1.0298852,1.0585634,1.0351642,1.0015577
1.030332,1.0592297,1.035139,1.0049292
1.0311135,1.0563478,1.0352584,0.99998486
1.0337914,1.0611237,1.0354122,1.0016484
1.0352664,1.059817,1.0357983,0.9965752
1.0316954,1.062222,1.0357076,0.9813575
1.0173036,1.0521066,1.0246316,0.98146623
1.0172989,1.0521859,1.0247232,0.9760217
1.0150346,1.0477188,1.0196939,0.96568894
1.0225089,1.0435078,1.0103768,0.9573976
1.0310496,1.0492527,1.0018066,0.9718381
1.018114,1.0357634,1.0160178,0.9689419
1.017515,1.0334451,1.0144285,0.97246534
1.0185087,1.0369173,1.016472,0.97487795
1.0197412,1.0393792,1.0180889,0.97685856
1.0210031,1.041457,1.0194162,0.97466844
1.0195286,1.0390753,1.0176889,0.97640306
1.0203413,1.040076,1.0186039,0.97337306
1.0185013,1.0392723,1.0172353,0.9724885
1.0180764,1.0387394,1.0164932,0.9708529
1.0172659,1.0377026,1.0152898,0.96939737
1.0163254,1.0367965,1.0138859,0.97414374
1.0153295,1.0412717,1.018828,0.97556955
1.015565,1.0420989,1.020315,0.9831034
1.0140395,1.0439429,1.0280908,0.98349446
1.013582,1.0432509,1.0283906,0.99004805
1.0148524,1.0486673,1.0351582,0.9825356
1.0089086,1.0408709,1.0274577,0.9829285
1.0090501,1.0409166,1.0277749,0.98383933
1.0090057,1.040298,1.0282692,0.9827039
1.0090094,1.0414522,1.0282513,0.98397654
1.0089922,1.0403581,1.0288692,0.9880545
1.0085492,1.0361701,1.0248865,0.9874553
1.0085839,1.0354398,1.0254724,0.9891603
1.0085098,1.0339395,1.0237099,0.9883795
1.0083473,1.0346838,1.0244915,0.9870526
1.0085375,1.03604,1.025754,0.9978393
1.0071912,1.0249959,1.0155903,0.998653
1.0075831,1.0243832,1.0149338,1.0048616
1.0103562,1.0283738,1.0174705,1.0101576
1.011904,1.0321659,1.0180298,1.0288165
