step,allocator,blended_action,aggressive_action,balanced_action,conservative_action
0,equal_weight,0.51760626,0.44478965,0.3959725,0.71205664
1,equal_weight,0.44848725,0.19121158,0.5448823,0.60936785
2,equal_weight,-0.18858744,-0.19858241,-0.7088142,0.34163427
3,equal_weight,0.12209976,0.09433234,-0.0014359951,0.27340293
4,equal_weight,-0.9185477,-0.8052563,-0.9508994,-0.9994873
5,equal_weight,-0.815516,-0.6684251,-0.80298674,-0.9751362
6,equal_weight,-0.83419394,-0.7029984,-0.87227553,-0.92730784
7,equal_weight,-0.70028746,-0.670792,-0.8625409,-0.5675295
8,equal_weight,-0.8781865,-0.7160026,-0.9384762,-0.98008084
9,equal_weight,-0.82268435,-0.7405166,-0.8164893,-0.91104716
10,equal_weight,-0.9315674,-0.87673855,-0.91958714,-0.9983764
11,equal_weight,-0.9142589,-0.90606445,-0.84019446,-0.9965177
12,equal_weight,-0.78093,-0.75506085,-0.6797122,-0.908017
13,equal_weight,-0.30464682,-0.610749,0.034945846,-0.33813727
14,equal_weight,-0.1346444,-0.57908565,0.47844374,-0.30329132
15,equal_weight,-0.09783006,-0.29246318,0.30731738,-0.30834436
16,equal_weight,0.36018246,0.30349886,0.9557812,-0.1787327
17,equal_weight,0.44090316,0.41861415,0.6668112,0.23728406
18,equal_weight,0.24303834,0.0054222345,0.5311223,0.19257045
19,equal_weight,0.108764924,0.09516835,0.13976014,0.09136629
20,equal_weight,0.33154044,0.22679234,0.6937382,0.07409072
21,equal_weight,0.54243714,0.27231956,0.82735276,0.52763915
22,equal_weight,0.3599182,0.20804143,0.54435873,0.32735443
23,equal_weight,0.4939787,0.33870196,0.72655,0.41668415
24,equal_weight,0.68587,0.6209574,0.94516385,0.4914888
25,equal_weight,0.5680855,0.68053174,0.6944363,0.32928848
26,equal_weight,0.67097944,0.73972106,0.8043494,0.46886778
27,equal_weight,0.6243244,0.85435605,0.5565562,0.46206093
28,equal_weight,0.64827186,0.9455917,0.85332656,0.14589727
29,equal_weight,0.7679155,0.95837164,0.91469634,0.4306785
30,equal_weight,0.89307123,0.9264909,0.9755807,0.77714217
31,equal_weight,0.76649505,0.6521852,0.95594084,0.69135904
32,equal_weight,0.80846435,0.7496009,0.94282126,0.73297095
33,equal_weight,0.8427789,0.7981554,0.96863663,0.7615447
34,equal_weight,0.79491776,0.70717525,0.92051554,0.75706255
35,equal_weight,0.72360355,0.6415967,0.86090493,0.668309
36,equal_weight,0.4577944,0.61710465,0.40732157,0.34895694
37,equal_weight,0.33626857,0.47978818,0.16981483,0.35920274
38,equal_weight,0.0019197067,0.14552224,0.3292197,-0.46898282
39,equal_weight,0.43118313,0.3986385,0.67950773,0.2154032
40,equal_weight,0.3036396,0.51405525,0.5517149,-0.15485138
41,equal_weight,0.040329892,0.1657244,0.34472883,-0.38946354
42,equal_weight,-0.14254431,-0.34849203,0.2796303,-0.3587712
43,equal_weight,0.028018871,0.10775089,0.3925115,-0.41620576
44,equal_weight,0.0024705331,-0.13865888,0.03259957,0.11347091
45,equal_weight,-0.06745628,0.2319591,-0.086654186,-0.34767377
46,equal_weight,0.20345895,0.51688504,0.22263765,-0.12914586
47,equal_weight,0.49300483,0.7416425,0.60662246,0.13074958
48,equal_weight,0.592951,0.8257296,0.72943354,0.22368991
49,equal_weight,0.30768216,0.2597295,0.6950921,-0.031775117
50,equal_weight,0.4087758,0.5360223,0.7505723,-0.06026721
51,equal_weight,0.35194436,0.3542304,0.7880026,-0.08639991
52,equal_weight,0.4271336,0.3856914,0.94126534,-0.04555601
53,equal_weight,0.5622335,0.43881178,0.94177485,0.30611396
54,equal_weight,0.47304174,0.39314342,0.9949908,0.030990958
55,equal_weight,0.4655962,0.39193714,0.9948425,0.010008931
56,equal_weight,0.47006473,0.4047873,0.9881921,0.017214775
57,equal_weight,0.41580018,0.47979784,0.92841315,-0.16081041
58,equal_weight,0.5073747,0.5292039,0.9457886,0.04713154
59,equal_weight,0.64993006,0.891479,0.8565302,0.20178103
60,equal_weight,0.6309765,0.7522745,0.87680674,0.2638483
61,equal_weight,0.5582097,0.7452954,0.679219,0.25011468
62,equal_weight,0.15034729,0.69782364,-0.50761515,0.26083338
63,equal_weight,0.445693,0.52319026,0.08698976,0.7268989
64,equal_weight,-0.06800214,-0.14631343,0.111104846,-0.16879785
65,equal_weight,0.42468163,0.20932138,0.65965366,0.40506983
66,equal_weight,0.2259735,0.28189552,0.43420804,-0.038183033
67,equal_weight,0.17268741,0.27147114,0.15215564,0.09443545
68,equal_weight,-0.089147426,0.13466787,-0.40705782,0.0049476624
69,equal_weight,-0.36706212,-0.05053854,-0.7348052,-0.31584257
70,equal_weight,-0.119238615,-0.15450227,-0.4437232,0.24050963
71,equal_weight,0.0572533,-0.15502024,-0.14218539,0.46896553
72,equal_weight,0.3917359,0.026455522,0.48634744,0.6624048
73,equal_weight,0.6735577,0.47395813,0.6978239,0.848891
74,equal_weight,0.9646813,0.97551584,0.9323437,0.9861845
75,equal_weight,0.9377431,0.9865793,0.8313576,0.9952924
76,equal_weight,0.5656525,0.8402351,0.110355854,0.7463665
77,equal_weight,0.19141035,0.40716553,-0.22958124,0.39664674
78,equal_weight,0.4067887,0.48956943,-0.018165708,0.7489624
79,equal_weight,-0.0021803777,0.34574473,-0.55072474,0.19843888
80,equal_weight,-0.5804795,-0.11420274,-0.8135844,-0.8136513
81,equal_weight,0.23276244,0.47948456,-0.3579592,0.57676196
82,equal_weight,0.42049477,0.54802954,-0.15436119,0.867816
83,equal_weight,0.2644521,0.5460577,-0.3893758,0.6366744
84,equal_weight,0.3042512,0.45092905,-0.16221845,0.624043
85,equal_weight,0.4303506,0.6062679,-0.030125558,0.71490943
86,equal_weight,-0.047343988,0.5196626,-0.47847354,-0.18322104
87,equal_weight,-0.195431,0.00791955,-0.19506621,-0.39914632
88,equal_weight,-0.036303204,0.5052464,-0.52204895,-0.09210706
89,equal_weight,0.1900996,0.4868002,0.08207667,0.0014219284
90,equal_weight,-0.18300712,0.26612592,-0.40696,-0.40818727
91,equal_weight,0.29615185,0.5462316,0.009563208,0.33266068
92,equal_weight,0.3785367,0.727919,0.14144611,0.266245
